Sample Name,Dilution Factor,Analyte,Mass,Concentration,Units
sample crud,1,Be,9,,ppm
sample crud,1,B,11,,ppm
sample crud,1,Sn,118,,ppm
sample crud,1,Sb,121,,ppm
sample crud,1,Hg,202,,ppm
sample crud,1,Pb,208,,ppm
sample crud,1,Mg,24,,ppm
sample crud,1,Al,27,,ppm
sample crud,1,Ti,47,,ppm
sample crud,1,Cr,52,,ppm
sample crud,1,Mn,55,,ppm
sample crud,1,Fe,56,,ppm
sample crud,1,Co,59,,ppm
sample crud,1,Ni,60,,ppm
sample crud,1,Cu,65,,ppm
sample crud,1,Zn,66,,ppm
sample crud,1,As,75,,ppm
sample crud,1,Se,78,,ppm
sample crud,1,Mo,95,,ppm
sample crud,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
blk verify,1,Be,9,,ppm
blk verify,1,B,11,,ppm
blk verify,1,Sn,118,,ppm
blk verify,1,Sb,121,,ppm
blk verify,1,Hg,202,,ppm
blk verify,1,Pb,208,,ppm
blk verify,1,Mg,24,,ppm
blk verify,1,Al,27,,ppm
blk verify,1,Ti,47,,ppm
blk verify,1,Cr,52,,ppm
blk verify,1,Mn,55,,ppm
blk verify,1,Fe,56,,ppm
blk verify,1,Co,59,,ppm
blk verify,1,Ni,60,,ppm
blk verify,1,Cu,65,,ppm
blk verify,1,Zn,66,,ppm
blk verify,1,As,75,,ppm
blk verify,1,Se,78,,ppm
blk verify,1,Mo,95,,ppm
blk verify,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
rinse,1,Be,9,,ppm
rinse,1,B,11,,ppm
rinse,1,Sn,118,,ppm
rinse,1,Sb,121,,ppm
rinse,1,Hg,202,,ppm
rinse,1,Pb,208,,ppm
rinse,1,Mg,24,,ppm
rinse,1,Al,27,,ppm
rinse,1,Ti,47,,ppm
rinse,1,Cr,52,,ppm
rinse,1,Mn,55,,ppm
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppm
rinse,1,Ni,60,,ppm
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,As,75,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppm
rinse,1,Cd,111,,ppm
Cal Blank,1,Be,9,0.000000,ppm
Cal Blank,1,B,11,0.000000,ppm
Cal Blank,1,Sn,118,0.000000,ppm
Cal Blank,1,Sb,121,0.000000,ppm
Cal Blank,1,Hg,202,0.000000,ppm
Cal Blank,1,Pb,208,0.000000,ppm
Cal Blank,1,Mg,24,0.000000,ppm
Cal Blank,1,Al,27,0.000000,ppm
Cal Blank,1,Ti,47,0.000000,ppm
Cal Blank,1,Cr,52,0.000000,ppm
Cal Blank,1,Mn,55,0.000000,ppm
Cal Blank,1,Fe,56,0.000000,ppm
Cal Blank,1,Co,59,0.000000,ppm
Cal Blank,1,Ni,60,0.000000,ppm
Cal Blank,1,Cu,65,0.000000,ppm
Cal Blank,1,Zn,66,0.000000,ppm
Cal Blank,1,As,75,0.000000,ppm
Cal Blank,1,Se,78,0.000000,ppm
Cal Blank,1,Mo,95,0.000000,ppm
Cal Blank,1,Cd,111,0.000000,ppm
0.1 ppmUOG4/0.005ppbHg,10,Be,9,0.000000,ppm
0.1 ppmUOG4/0.005ppbHg,10,B,11,0.000379,ppm
0.1 ppmUOG4/0.005ppbHg,10,Sn,118,0.000910,ppm
0.1 ppmUOG4/0.005ppbHg,10,Sb,121,0.000983,ppm
0.1 ppmUOG4/0.005ppbHg,10,Hg,202,0.000047,ppm
0.1 ppmUOG4/0.005ppbHg,10,Pb,208,0.000135,ppm
0.1 ppmUOG4/0.005ppbHg,10,Mg,24,0.003106,ppm
0.1 ppmUOG4/0.005ppbHg,10,Al,27,0.003035,ppm
0.1 ppmUOG4/0.005ppbHg,10,Ti,47,0.000102,ppm
0.1 ppmUOG4/0.005ppbHg,10,Cr,52,0.000022,ppm
0.1 ppmUOG4/0.005ppbHg,10,Mn,55,0.000087,ppm
0.1 ppmUOG4/0.005ppbHg,10,Fe,56,0.003322,ppm
0.1 ppmUOG4/0.005ppbHg,10,Co,59,0.000001,ppm
