Sample Name,Dilution Factor,Analyte,Mass,Concentration,Units
sample crud,1,I,127,,
rinse,1,I,127,,
rinse,1,I,127,,
rinse,1,I,127,,
rinse,1,I,127,,
blk verify,1,I,127,,
rinse,1,I,127,,
blank,5,I,127,0.000000,
0.1 ppb,5,I,127,1.016872,
0.5 ppb,5,I,127,1.917341,
2 ppb,5,I,127,3.876882,
5 ppb,5,I,127,9.631840,
20 ppb,5,I,127,20.216126,
rinse,250,I,127,-2.806316,
calibration check,50,I,127,510.262407,
rinse,250,I,127,-2.743853,
Method Blank,252.092366643138,I,127,-2.534370,
Skim Milk Powder,1002.40577385726,I,127,2779.234728,
GMilk Blk 1R1,268.528464017186,I,127,600.142386,
GMilk Blk 1R2,269.62899050906,I,127,593.301641,
GMilk Blk 1R3,255.388701603841,I,127,595.886149,
GMilk 0.5x 1R1,263.768727579658,I,127,939.469038,
GMilk 0.5x 1R2,266.297400937367,I,127,971.777886,
GMilk 0.5x 1R3,264.886628522992,I,127,953.097343,
GMilk 1x R1,272.806634657355,I,127,1328.189304,
GMilk 1x 1R2,264.634275431354,I,127,1314.806865,
GMilk 1x 1R3,264.298551643937,I,127,1310.005222,
20-043562-0001,223.593596279403,I,127,18.763202,
20-043562-0001 d,266.269038236234,I,127,16.415655,
20-043562-0002,220.167327168648,I,127,17.720180,
AppSauce Blk 1R1,236.294896030246,I,127,-2.598655,
AppSauce Blk 1R2,249.152880207295,I,127,-2.587896,
AppSauce Blk 1R3,250.150090054032,I,127,-2.515322,
GrBeans Blk 1R1,227.707441479188,I,127,4.507859,
GrBeans Blk 1R2,249.575721273834,I,127,4.567021,
GrBeans Blk 1R3,211.488029777515,I,127,4.446675,
2000 ppb STD,250,I,127,1986.510626,
rinse,250,I,127,-3.168780,
second source,50,I,127,516.404001,
rinse,250,I,127,-3.309759,
rinse,250,I,127,-3.369095,
rinse,250,I,127,-3.615853,
