Sample Name,Dilution Factor,Analyte,Mass,Concentration,Units
condition 1,1,Mn,55,,ppb
condition 1,1,Fe,56,,ppm
condition 1,1,Co,59,,ppb
condition 1,1,Cu,65,,ppm
condition 1,1,Zn,66,,ppm
condition 1,1,Se,78,,ppm
condition 1,1,Mo,95,,ppb
condition 1,1,Pb,208,,ppm
condition 2,1,Mn,55,,ppb
condition 2,1,Fe,56,,ppm
condition 2,1,Co,59,,ppb
condition 2,1,Cu,65,,ppm
condition 2,1,Zn,66,,ppm
condition 2,1,Se,78,,ppm
condition 2,1,Mo,95,,ppb
condition 2,1,Pb,208,,ppm
rinse,1,Mn,55,,ppb
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppb
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppb
rinse,1,Pb,208,,ppm
rinse,1,Mn,55,,ppb
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppb
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppb
rinse,1,Pb,208,,ppm
rinse,1,Mn,55,,ppb
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppb
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppb
rinse,1,Pb,208,,ppm
blk verify,1,Mn,55,,ppb
blk verify,1,Fe,56,,ppm
blk verify,1,Co,59,,ppb
blk verify,1,Cu,65,,ppm
blk verify,1,Zn,66,,ppm
blk verify,1,Se,78,,ppm
blk verify,1,Mo,95,,ppb
blk verify,1,Pb,208,,ppm
rinse,1,Mn,55,,ppb
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppb
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppb
rinse,1,Pb,208,,ppm
rinse,1,Mn,55,,ppb
rinse,1,Fe,56,,ppm
rinse,1,Co,59,,ppb
rinse,1,Cu,65,,ppm
rinse,1,Zn,66,,ppm
rinse,1,Se,78,,ppm
rinse,1,Mo,95,,ppb
rinse,1,Pb,208,,ppm
Blank,1,Mn,55,0.017064,ppb
Blank,1,Fe,56,0.000000,ppm
Blank,1,Co,59,0.011131,ppb
Blank,1,Cu,65,0.000000,ppm
Blank,1,Zn,66,0.000586,ppm
Blank,1,Se,78,0.000000,ppm
